# snap_num	t[myr]	redshift	mvir[msun]	rvir[pc]	m_star[msun]
2.540000000000000000e+02 3.925250115770695629e+02 1.175989177757249671e+01 7.659314079920829833e+07 1.542652801748764659e+03 1.161241039387000819e+04
2.580000000000000000e+02 3.933588309547612312e+02 1.174183136373388514e+01 7.781727201652269065e+07 1.531636680751062386e+03 1.158140128695225576e+04
2.620000000000000000e+02 3.942082761337490524e+02 1.172357761014999333e+01 7.885736718007592857e+07 1.680395316887554600e+03 1.155639394266348972e+04
2.660000000000000000e+02 3.950465748087166276e+02 1.170559775667424063e+01 7.822365027097699046e+07 1.704290109662380019e+03 1.152638512951714438e+04
2.700000000000000000e+02 3.959190747412580436e+02 1.168691583523237831e+01 7.945610891153675318e+07 1.501504971117552714e+03 1.150137778522840745e+04
2.740000000000000000e+02 3.967756782822161767e+02 1.166866804033398175e+01 8.210506224641776085e+07 1.681092591862384097e+03 1.148137190979761363e+04
2.780000000000000000e+02 3.976994474234074914e+02 1.164911231100479050e+01 8.165538139107717574e+07 1.668532815095428077e+03 1.146536720945274647e+04
2.820000000000000000e+02 3.986363413222475174e+02 1.162925451585308600e+01 8.295529215993888676e+07 1.659535626912776252e+03 1.362300087467611593e+04
2.860000000000000000e+02 3.994988704786562153e+02 1.161108396751163063e+01 8.293530634414668381e+07 1.642429019649743850e+03 1.360299499924532392e+04
2.900000000000000000e+02 4.004977679753995972e+02 1.159017185819799423e+01 8.337832526088757813e+07 1.629028266913874859e+03 1.358498971135732609e+04
2.940000000000000000e+02 4.014898631810219740e+02 1.156940655446355315e+01 8.404368637832589447e+07 1.612649691306012528e+03 1.356598412969805941e+04
2.980000000000000000e+02 4.024932122041311118e+02 1.154851826825090910e+01 8.441009300119620562e+07 1.603616940070921146e+03 1.355097972312503589e+04
3.020000000000000000e+02 4.034239710079294241e+02 1.152927938390445028e+01 8.422605694743508101e+07 1.607262374886664475e+03 1.352797296637921318e+04
3.060000000000000000e+02 4.042727908627574038e+02 1.151171440675067537e+01 8.458080517776012421e+07 1.598012638534763482e+03 1.654085780627409622e+04
3.100000000000000000e+02 4.049599946215934096e+02 1.149754614907686090e+01 8.526032291471636295e+07 1.591467060436964857e+03 1.652285251838598924e+04
3.140000000000000000e+02 4.058338718201168263e+02 1.147965062025458494e+01 8.371308767541828752e+07 1.389510724102781296e+03 1.650184634918356096e+04
3.180000000000000000e+02 4.067642063198979372e+02 1.146062834233870298e+01 8.429350907573676109e+07 1.443031991215318612e+03 1.647883959243811114e+04
3.220000000000000000e+02 4.076675023315230533e+02 1.144222177761154668e+01 8.463909714048850536e+07 1.387997632902390251e+03 1.645583283569257037e+04
3.260000000000000000e+02 4.085549795391942212e+02 1.142419043710019011e+01 8.484145352539248765e+07 1.418952643275355058e+03 1.642782461008951577e+04
3.300000000000000000e+02 4.094971052628303596e+02 1.140521761226729858e+01 8.672844763316896558e+07 1.407961307950554101e+03 1.639681550317151778e+04
3.340000000000000000e+02 4.104372511854729737e+02 1.138621223585557729e+01 8.777437199299600720e+07 1.406784955818890921e+03 1.635680375230970822e+04
3.380000000000000000e+02 4.113528722214647360e+02 1.136786591198373664e+01 8.786847187568789721e+07 1.395663460137671564e+03 1.632479435162034497e+04
3.420000000000000000e+02 4.123315798298250456e+02 1.134832440742768789e+01 8.870204694271412492e+07 1.427026494796084990e+03 1.629378524470217235e+04
3.460000000000000000e+02 4.132760887843141973e+02 1.132950770014096165e+01 8.958142283760154247e+07 1.418974309407584542e+03 1.627077848795680256e+04
3.500000000000000000e+02 4.142022634305228053e+02 1.131111002326578330e+01 9.001444884644751251e+07 1.369807402727697536e+03 1.769119564355129842e+04
3.540000000000000000e+02 4.152387839225723383e+02 1.129068855788742987e+01 9.026010783223424852e+07 1.302278083918915854e+03 1.767719153074954374e+04
3.580000000000000000e+02 4.163668399645974318e+02 1.126843929562615543e+01 9.099875027424491942e+07 1.360886044729356399e+03 2.144029669930295495e+04
3.620000000000000000e+02 4.172798991432650837e+02 1.125057494408700798e+01 9.178485902876582742e+07 1.507783032067920885e+03 2.357892478286721962e+04
3.660000000000000000e+02 4.182004205888094930e+02 1.123261898853880858e+01 9.216708775580357015e+07 1.352277983877459747e+03 2.356191978875073255e+04
3.700000000000000000e+02 4.191207675115370535e+02 1.121472372827272856e+01 9.273585076357671618e+07 1.429808496895944700e+03 3.990271884071598470e+04
3.740000000000000000e+02 4.200113352965699960e+02 1.119743631949005369e+01 9.319635726913660765e+07 1.315749194701173337e+03 4.309865744080301374e+04
3.780000000000000000e+02 4.208826775488587941e+02 1.118063293182518514e+01 9.393749793812322617e+07 1.321443342555901154e+03 7.213118386613602343e+04
3.820000000000000000e+02 4.218767571010216670e+02 1.116152376202121133e+01 9.433971248095472157e+07 1.289840770908787135e+03 8.933023497408695403e+04
3.860000000000000000e+02 4.229111798339168331e+02 1.114166949803832907e+01 9.445712914873754978e+07 1.276865082556428206e+03 1.160650866061794368e+05
3.900000000000000000e+02 4.238399168726080006e+02 1.112395324981373612e+01 9.560381532985265553e+07 1.297769754170504712e+03 1.309314526388852100e+05
3.940000000000000000e+02 4.247300331766183490e+02 1.110705017956455087e+01 9.582615753054942191e+07 1.213323746794321323e+03 1.334761999936981010e+05
3.980000000000000000e+02 4.256222100762860805e+02 1.109011167411148513e+01 9.576453459852187335e+07 1.207904782311844201e+03 1.333111515213937382e+05
4.020000000000000000e+02 4.264887469241173790e+02 1.107371189136600975e+01 9.672551924122813344e+07 1.200105241693971720e+03 1.407883474636937899e+05
4.060000000000000000e+02 4.273885388429359296e+02 1.105683079266612978e+01 9.711857361848783493e+07 1.247305632972140529e+03 1.471772237825538905e+05
4.100000000000000000e+02 4.282770420149257689e+02 1.104013524556060588e+01 9.755826156593075395e+07 1.262428856961329075e+03 1.495819300093485217e+05
4.140000000000000000e+02 4.291322692466156354e+02 1.102413949348787625e+01 9.815617055506841838e+07 1.223296323342041887e+03 1.604181124365007272e+05
4.180000000000000000e+02 4.299916685194660317e+02 1.100813287359117254e+01 1.052003378797300011e+08 1.844408304809025367e+03 1.811772090773795790e+05
4.220000000000000000e+02 4.306193995902625034e+02 1.099647698569974175e+01 1.015362716510376781e+08 1.515230428930596190e+03 1.908660545485694602e+05
4.260000000000000000e+02 4.314729484192560562e+02 1.098067228559033204e+01 1.015770760249489397e+08 1.480572498968444052e+03 2.044940568921049708e+05
4.300000000000000000e+02 4.322988243531074204e+02 1.096538662757475535e+01 1.021208567629794776e+08 1.492132911788890397e+03 2.090503950214930519e+05
4.340000000000000000e+02 4.331659698781620591e+02 1.094944368598826046e+01 1.032467243859766126e+08 1.428841913872184023e+03 2.086182681121828209e+05
4.380000000000000000e+02 4.340203899480086420e+02 1.093381307631243082e+01 1.081707297519461662e+08 1.886831312904553670e+03 2.154152642898348859e+05
4.420000000000000000e+02 4.348691875338520845e+02 1.091823206314245631e+01 1.071347983000150770e+08 1.899624139772141461e+03 2.176279141124920570e+05
4.460000000000000000e+02 4.356996341671849109e+02 1.090310554265761134e+01 1.075037031498581767e+08 1.905978845556961005e+03 2.171187645827747183e+05
4.500000000000000000e+02 4.365433516563941794e+02 1.088777656613645028e+01 1.081748934635698646e+08 1.894007067119413705e+03 2.167046429613569635e+05
4.540000000000000000e+02 4.373820302403417486e+02 1.087262044836946906e+01 1.089193651018533558e+08 1.881111574938525791e+03 2.162635134081037249e+05
4.580000000000000000e+02 4.381956159751818518e+02 1.085790117796556764e+01 1.094040211348320693e+08 1.870977052947010407e+03 2.158193829735406034e+05
4.620000000000000000e+02 4.390404870680263230e+02 1.084266805614017848e+01 1.099086629836004823e+08 1.860733440276637111e+03 2.153062322687346896e+05
4.660000000000000000e+02 4.398794804230369095e+02 1.082766311295793216e+01 1.101976245702745020e+08 1.848106358419188837e+03 2.147690745134189492e+05
4.700000000000000000e+02 4.407106850168896131e+02 1.081279340465990479e+01 1.106398107446912676e+08 1.836226486649949038e+03 2.141688982504905725e+05
4.740000000000000000e+02 4.415271674238246078e+02 1.079821216773397552e+01 1.090301198310399950e+08 1.322072282901675635e+03 2.135867272754505684e+05
4.780000000000000000e+02 4.423460870588675675e+02 1.078366342201792705e+01 1.097113030526472777e+08 1.552367143252181677e+03 2.130585721640750126e+05
4.820000000000000000e+02 4.431640848538892214e+02 1.076916682990809093e+01 1.104257959672421217e+08 1.511025244221765888e+03 2.125614261596163851e+05
4.860000000000000000e+02 4.439919528709231145e+02 1.075457270427875578e+01 1.113651293095072210e+08 1.493376675969626831e+03 2.121242977814511687e+05
4.900000000000000000e+02 4.448220130774034828e+02 1.073992296458952467e+01 1.155596523990360349e+08 1.778941195134977306e+03 2.116871694032855448e+05
4.940000000000000000e+02 4.456672898166485766e+02 1.072507762338750226e+01 1.173983474519797266e+08 1.761367683100014347e+03 2.112130301555721380e+05
4.980000000000000000e+02 4.465012632059389830e+02 1.071052696393751091e+01 1.176406754684676230e+08 1.737276790601856192e+03 2.107588967832892376e+05
5.020000000000000000e+02 4.473407525989512123e+02 1.069585461730949127e+01 1.182452463962035179e+08 1.731648442404074331e+03 2.103207681113551953e+05
5.060000000000000000e+02 4.481725694247054435e+02 1.068138119452355284e+01 1.185900017186316550e+08 1.724068906838559315e+03 2.098766376767907932e+05
5.100000000000000000e+02 4.490130835366826432e+02 1.066681380732451423e+01 1.185275460442768186e+08 1.718192898312409852e+03 2.094235045982770971e+05
5.140000000000000000e+02 4.498634257671810701e+02 1.065213042874171734e+01 1.197491790346168727e+08 1.710594742375194073e+03 2.089863762201131030e+05
5.180000000000000000e+02 4.507119438858971989e+02 1.063751845442977917e+01 1.204636719492128044e+08 1.711727493133625103e+03 2.085112366786303464e+05
5.220000000000000000e+02 4.515796934116593775e+02 1.062258036270224082e+01 1.208475661608999521e+08 1.696378856812275444e+03 2.080380977246877737e+05
5.260000000000000000e+02 4.524066651097762701e+02 1.060843553926231664e+01 1.209982925216726363e+08 1.705145369836143118e+03 2.075669593582924281e+05
5.300000000000000000e+02 4.532756314580338426e+02 1.059364761318193082e+01 1.215379095480780005e+08 1.697734853309473237e+03 2.070698133538305992e+05
5.340000000000000000e+02 4.541157489170729491e+02 1.057929896603533670e+01 1.216961305897732526e+08 1.686949841171974867e+03 2.066366861507544527e+05
5.380000000000000000e+02 4.549829168312070351e+02 1.056460339241756508e+01 1.220467151084711552e+08 1.676264380486924665e+03 2.061615466092668939e+05
5.420000000000000000e+02 4.558063186899164521e+02 1.055068479416557992e+01 1.232891666569283307e+08 1.577364005627806364e+03 2.057574279255629517e+05
5.460000000000000000e+02 4.566458719447472276e+02 1.053655995174487181e+01 1.229344184266055524e+08 1.501062126369604812e+03 2.071538380306415493e+05
5.500000000000000000e+02 4.574752904601149908e+02 1.052260664548631652e+01 1.232417003444204330e+08 1.471297573834856621e+03 2.066746973140703922e+05
5.540000000000000000e+02 4.583279410761508643e+02 1.050828779567141780e+01 1.235481495199125409e+08 1.502685374045220442e+03 2.062495724611658952e+05
5.580000000000000000e+02 4.589726256405865001e+02 1.049752605122706939e+01 1.236663989300195128e+08 1.455174806651434210e+03 2.059114731663822022e+05
5.620000000000000000e+02 4.597984424183276246e+02 1.048380746744136260e+01 1.243917174948356450e+08 1.440733523613553416e+03 2.084332137644477771e+05
5.660000000000000000e+02 4.606572007444965493e+02 1.046950443064443625e+01 1.252003102921225280e+08 1.407969496873996377e+03 2.143779596487421659e+05
5.700000000000000000e+02 4.615192555862137169e+02 1.045522249008194926e+01 1.254842754248473644e+08 1.601601907773161884e+03 2.151811955472950940e+05
5.740000000000000000e+02 4.623757701790806891e+02 1.044108856762916560e+01 1.256533221167603731e+08 1.387747235688088722e+03 2.190263248051124101e+05
5.780000000000000000e+02 4.632413936213388297e+02 1.042685199875548818e+01 1.253935065114548057e+08 1.392558720992101826e+03 2.209268829710516729e+05
5.820000000000000000e+02 4.641162726494858362e+02 1.041249823212073800e+01 1.261646259041279703e+08 1.379988288572442571e+03 2.218061411962368875e+05
5.860000000000000000e+02 4.649701944097621436e+02 1.039850167687335514e+01 1.264102848899167329e+08 1.367258827779357262e+03 2.241928421351464640e+05
5.900000000000000000e+02 4.658123643867545525e+02 1.038477405584753477e+01 1.269565638549223691e+08 1.426377516985483453e+03 2.248100233921907493e+05
5.940000000000000000e+02 4.666850366035751563e+02 1.037063301202431020e+01 1.272405289876455218e+08 1.413921841589334463e+03 2.255612440146203735e+05
5.980000000000000000e+02 4.675534776888699753e+02 1.035650794586116241e+01 1.275011773352783322e+08 1.402211288265347548e+03 2.253491817350540368e+05
6.020000000000000000e+02 4.684197067670412480e+02 1.034251345462916838e+01 1.287452943683836311e+08 1.899494800014829707e+03 2.251461220994285541e+05
6.060000000000000000e+02 4.692494030874455575e+02 1.032915807334582503e+01 1.294547908290289640e+08 1.917859127462139895e+03 2.253731887855665700e+05
6.100000000000000000e+02 4.701373875245976706e+02 1.031491034360343662e+01 1.296896241645959169e+08 1.901698255570119272e+03 2.252421503014954797e+05
6.140000000000000000e+02 4.710187597283158425e+02 1.030079331752960314e+01 1.297529125812726915e+08 1.885424375507384411e+03 2.251431212181111623e+05
6.180000000000000000e+02 4.719023371605442776e+02 1.028666618294672830e+01 1.301401377622610033e+08 1.871356997888342676e+03 2.250630977163901553e+05
6.220000000000000000e+02 4.727285735047947810e+02 1.027352578728519994e+01 1.301509634124824703e+08 1.857271728536199362e+03 2.249910765648394008e+05
6.260000000000000000e+02 4.736296722451407959e+02 1.025928246318231984e+01 1.303391631778643876e+08 1.836893442961513756e+03 2.249290583510019933e+05
6.300000000000000000e+02 4.745270576107226361e+02 1.024503390917022294e+01 1.307238901318784356e+08 1.790455767710416922e+03 2.281309987137207063e+05
6.340000000000000000e+02 4.754417298167480226e+02 1.023062026104349442e+01 1.321795237154584229e+08 1.767193632223265013e+03 2.288272031787147280e+05
6.380000000000000000e+02 4.763019818814561859e+02 1.021711586279399064e+01 1.316207536155834347e+08 1.745461666497375063e+03 2.296304390772670158e+05
6.420000000000000000e+02 4.771851780825068658e+02 1.020328925200148440e+01 1.313126389554416686e+08 1.701085436795486203e+03 2.299295269149561937e+05
6.460000000000000000e+02 4.781009642895662068e+02 1.018897456133186452e+01 1.327416247846334577e+08 1.693483548231307168e+03 2.313259370200359554e+05
6.500000000000000000e+02 4.789476148750480320e+02 1.017577303619866846e+01 1.329056750226000249e+08 1.682228882436182857e+03 2.356892184515171102e+05
6.540000000000000000e+02 4.798484768610636024e+02 1.016180048510912748e+01 1.331971348362444341e+08 1.673823370733352249e+03 2.356031931871612906e+05
6.580000000000000000e+02 4.806989739591367083e+02 1.014868071509349789e+01 1.321828546847589463e+08 1.694421666649696590e+03 2.355311720356149017e+05
6.620000000000000000e+02 4.815879190600676338e+02 1.013491114357697143e+01 1.330988712419292927e+08 1.682077572662102739e+03 2.375597678043036722e+05
6.660000000000000000e+02 4.825060235492231868e+02 1.012079221707210941e+01 1.327940875510900319e+08 1.709465300564960216e+03 2.374657401897819364e+05
6.700000000000000000e+02 4.833952628447825646e+02 1.010717746914536264e+01 1.326958239567739367e+08 1.681023627261581396e+03 2.389531770280677301e+05
6.740000000000000000e+02 4.843040618509714932e+02 1.009328183424867831e+01 1.337975420523570180e+08 1.739084766406643212e+03 2.398194314342277939e+05
6.780000000000000000e+02 4.851968292603781947e+02 1.007967204442225295e+01 1.342896927662551403e+08 1.745318298861188168e+03 2.424091920087564213e+05
6.820000000000000000e+02 4.860588383801768373e+02 1.006656280011078763e+01 1.416994339714647233e+08 3.349035639818314394e+03 2.467954801969869004e+05
6.860000000000000000e+02 4.869113015344880182e+02 1.005365112577681863e+01 1.412156106808104217e+08 3.336985326638955939e+03 2.598893256665122753e+05
6.900000000000000000e+02 4.877972234972050387e+02 1.004031599394867769e+01 1.410840373935063779e+08 3.333083164251370818e+03 2.795871106157812756e+05
6.940000000000000000e+02 4.887033952036092046e+02 1.002662512156330621e+01 1.321753600038339645e+08 2.028394415757877596e+03 2.836483033282558317e+05
6.980000000000000000e+02 4.896019531594022851e+02 1.001312986608413169e+01 1.328365574096489698e+08 1.899309936002934819e+03 2.861600409886080306e+05
7.020000000000000000e+02 4.905248064786371174e+02 9.999348070997037041e+00 1.408325492114467323e+08 3.301308370502485104e+03 2.886307666043239878e+05
7.060000000000000000e+02 4.913940208850930844e+02 9.986380404949681378e+00 1.405219363243324161e+08 3.293277746692218443e+03 2.912615392234880710e+05
7.100000000000000000e+02 4.922833950272930679e+02 9.973134263175948533e+00 1.426379345714026988e+08 3.279463129423967985e+03 2.928580080828744103e+05
7.140000000000000000e+02 4.931465268233527013e+02 9.960329125802321215e+00 1.403770391598343253e+08 3.288325627518328474e+03 3.007843359286003397e+05
7.180000000000000000e+02 4.940070039944124005e+02 9.947593085263907398e+00 1.363365734003749788e+08 2.657821139217108339e+03 3.039442639529110165e+05
7.220000000000000000e+02 4.948784361498728117e+02 9.934797415680868937e+00 1.390063452933737934e+08 3.254577052733867731e+03 3.037161969730009441e+05
7.260000000000000000e+02 4.957255917651363006e+02 9.922309246619274603e+00 1.416811136403198242e+08 3.244928367163550320e+03 3.034901305806317250e+05
7.300000000000000000e+02 4.965669954159066037e+02 9.909934071526375732e+00 1.380453606506680548e+08 2.648066669949446350e+03 3.056487645396300359e+05
7.340000000000000000e+02 4.973948255456676861e+02 9.897867209995453663e+00 1.373616792020858228e+08 2.931890847395630772e+03 3.057848044925577706e+05
7.380000000000000000e+02 4.982334289809334678e+02 9.885670307333198181e+00 1.400639280457459688e+08 2.857167813972793283e+03 3.059388497333734413e+05
7.420000000000000000e+02 4.990857538457314035e+02 9.873233385637027126e+00 1.410906993321062624e+08 2.843411394370424659e+03 3.060408796980741899e+05
7.460000000000000000e+02 4.999316953331306195e+02 9.860978512688268083e+00 1.382993470597013235e+08 2.856324827913239915e+03 3.058188144807904027e+05
7.500000000000000000e+02 5.007702460061278202e+02 9.848857940768313668e+00 1.392403458866168261e+08 2.853114091088665191e+03 3.055747428005356342e+05
7.540000000000000000e+02 5.016340674273521927e+02 9.836403117183760259e+00 1.402929321850416362e+08 2.843583561885082872e+03 3.090167536684236838e+05
7.580000000000000000e+02 5.025088037204027955e+02 9.823856196627312798e+00 1.388131490740432143e+08 2.531790402961024029e+03 3.095239026105944067e+05
7.620000000000000000e+02 5.033926731364580860e+02 9.811161461438111075e+00 1.375948470530016720e+08 2.524364150742076617e+03 3.113354346308609238e+05
7.660000000000000000e+02 5.042757430065320250e+02 9.798520132144785677e+00 1.389097471837088764e+08 2.509676469941963660e+03 3.111153700011234032e+05
7.700000000000000000e+02 5.051604191198263152e+02 9.785958059995373048e+00 1.387415332341183424e+08 2.538869329889473192e+03 3.108983062526969006e+05
7.740000000000000000e+02 5.060181781609214795e+02 9.773777589576807756e+00 1.395193145653914511e+08 2.521518023467234343e+03 3.106832430918159080e+05
7.780000000000000000e+02 5.068748585044219226e+02 9.761596019410974989e+00 1.425238488729187250e+08 2.704990407130475432e+03 3.104521752305861446e+05
7.820000000000000000e+02 5.077164225292164588e+02 9.749720659139709866e+00 1.397674717781530917e+08 2.704567712558899075e+03 3.102751232330254861e+05
7.860000000000000000e+02 5.085821841342026914e+02 9.737531164350020418e+00 1.420600113980606198e+08 2.446921415551933478e+03 3.100590597783722333e+05
7.900000000000000000e+02 5.094134637166812354e+02 9.725864966513938725e+00 1.428869245264914632e+08 2.515413959241536759e+03 3.141102495531323948e+05
7.940000000000000000e+02 5.102541863213587590e+02 9.714076452176827914e+00 1.407417802980544567e+08 2.414127443284673973e+03 3.153796223492188146e+05
7.980000000000000000e+02 5.110991136031071278e+02 9.702252621151503220e+00 1.428019848093715906e+08 2.543498773825602257e+03 3.155796811035320861e+05
8.020000000000000000e+02 5.119571911366028303e+02 9.690278143403327604e+00 1.444491491276337802e+08 2.364569897257963021e+03 3.163529081889361842e+05
8.060000000000000000e+02 5.128281370665366694e+02 9.678226570253297467e+00 1.426221124672352970e+08 2.372089196332779920e+03 3.161268417965666158e+05
8.100000000000000000e+02 5.136781442433727989e+02 9.666438764906599701e+00 1.428502838642016947e+08 2.360839316662564670e+03 3.158877715851624380e+05
8.140000000000000000e+02 5.145544144910846853e+02 9.654284734560675929e+00 1.442909280859401822e+08 2.509626381948714425e+03 3.199719710543869878e+05
8.180000000000000000e+02 5.153768699930093362e+02 9.642974201870469386e+00 1.434398654300926328e+08 2.500609419733157210e+03 3.197879170004201587e+05
8.220000000000000000e+02 5.162556507418831870e+02 9.630915583413399261e+00 1.438703932119635940e+08 2.478897281441232280e+03 3.195518476703343913e+05
8.260000000000000000e+02 5.171075884075917202e+02 9.619231574498222415e+00 1.404902921159937382e+08 2.329061396658886679e+03 3.212703523698486970e+05
8.300000000000000000e+02 5.180111693065699683e+02 9.606880369194177760e+00 1.411398311292628646e+08 2.324822014648088953e+03 3.210562895027396735e+05
8.340000000000000000e+02 5.188740432628652570e+02 9.595114219707696179e+00 1.406635025195321143e+08 2.280602424773826897e+03 3.208282225228259922e+05
8.380000000000000000e+02 5.197333059580960253e+02 9.583423225347219798e+00 1.501900747141358256e+08 2.830147183600650806e+03 3.206141596557179582e+05
8.420000000000000000e+02 5.206105759682986900e+02 9.571590268601747553e+00 1.428952519497356415e+08 2.396152556083482068e+03 3.203650865065994440e+05
8.460000000000000000e+02 5.214549115823658667e+02 9.560155313603248217e+00 1.433640858785455525e+08 2.375787787214272157e+03 3.201080110073169926e+05
8.500000000000000000e+02 5.222976586799148890e+02 9.548758886054091732e+00 1.504032567492596507e+08 2.994048144865113954e+03 3.227617903832257725e+05
8.540000000000000000e+02 5.231618904471363294e+02 9.537162989430026272e+00 1.507738270837529004e+08 2.975044062171100450e+03 3.285474895578449359e+05
8.580000000000000000e+02 5.240188653665536549e+02 9.525703204217768061e+00 1.505314990672648251e+08 2.956840256030520322e+03 3.283334266907353885e+05
8.620000000000000000e+02 5.248977212923870184e+02 9.513937152541446451e+00 1.505056840551979840e+08 2.954121250487418365e+03 3.287385456682089716e+05
8.660000000000000000e+02 5.257527855794630796e+02 9.502526341684689015e+00 1.480182827313087583e+08 2.944489860673529620e+03 3.306411044216852752e+05
8.700000000000000000e+02 5.266237637833277176e+02 9.490950649001328898e+00 1.505623105332776904e+08 2.916791450898133007e+03 3.333258929045157856e+05
8.740000000000000000e+02 5.275172045742093587e+02 9.479102901125324721e+00 1.521520156311362982e+08 2.899383256848954716e+03 3.331758488387851394e+05
8.780000000000000000e+02 5.283844767148176516e+02 9.467671390549996957e+00 1.495971621789450943e+08 2.907460347857008855e+03 3.330568138799658045e+05
8.820000000000000000e+02 5.292250807586813153e+02 9.456568013412272933e+00 1.523152331267765164e+08 2.870436393018907438e+03 3.330988262183726765e+05
8.860000000000000000e+02 5.301120637236451785e+02 9.444877538145929563e+00 1.535043891664541960e+08 2.856029802720441694e+03 3.329667874405326438e+05
8.900000000000000000e+02 5.309446792352191551e+02 9.433961942577104409e+00 1.553147709803560674e+08 2.826150041179019354e+03 3.328427510128559661e+05
8.940000000000000000e+02 5.318170166872470190e+02 9.422592209699569565e+00 1.546910469791536331e+08 2.875006378553505783e+03 3.327127128225549823e+05
8.980000000000000000e+02 5.327253961803705806e+02 9.410727711188359379e+00 1.553272621152291298e+08 2.878370943537710446e+03 3.333969137622973067e+05
9.020000000000000000e+02 5.336353524967950079e+02 9.398864078022729274e+00 1.563573643708870411e+08 3.109680391663684532e+03 3.337730242203990929e+05
9.060000000000000000e+02 5.344736591448213403e+02 9.388006270532720521e+00 1.536351297114301622e+08 3.103839272952600822e+03 3.336809971934107598e+05
9.100000000000000000e+02 5.353265049772104476e+02 9.376983393093127006e+00 1.543188111600136161e+08 2.855460161534211693e+03 3.338530477221215842e+05
9.140000000000000000e+02 5.361930728310746872e+02 9.365807003721599244e+00 1.516140640893779695e+08 2.857937876151313048e+03 3.337800262767979875e+05
9.180000000000000000e+02 5.370387833514290605e+02 9.354918376296128102e+00 1.523768560588055849e+08 2.842320744607894994e+03 3.337100057127890759e+05
9.220000000000000000e+02 5.378889368611894497e+02 9.343995576730652175e+00 1.537758631643054783e+08 2.835368998514128634e+03 3.347213027158192126e+05
